row_index,reason,original_src,original_dst
32140,dst_unresolved:BVV|ID:7478.0,UUS,BVV
32146,dst_unresolved:OHH|ID:7479.0,UUS,OHH
33030,src_unresolved:BNY|ID:6919.0,BNY,HIR
33031,src_unresolved:BNY|ID:6919.0,BNY,RNL
33045,dst_unresolved:BNY|ID:6919.0,HIR,BNY
33051,dst_unresolved:JJA|ID:nan,HIR,JJA
33066,src_unresolved:JJA|ID:nan,JJA,HIR
33081,dst_unresolved:BNY|ID:6919.0,RNL,BNY
33407,src_unresolved:GSM|ID:5712.0,GSM,MHD
33408,src_unresolved:GSM|ID:5712.0,GSM,THR
33473,dst_unresolved:GSM|ID:5712.0,MHD,GSM
33519,dst_unresolved:GSM|ID:5712.0,THR,GSM
33816,dst_unresolved:TKE|ID:7137.0,AGN,TKE
33826,dst_unresolved:PEC|ID:7138.0,JNU,PEC
33828,src_unresolved:PEC|ID:7138.0,PEC,ELV
33830,src_unresolved:TKE|ID:7137.0,TKE,JNU
34110,dst_unresolved:FSZ|ID:6476.0,CTS,FSZ
34112,src_unresolved:FSZ|ID:6476.0,FSZ,CTS
34113,src_unresolved:FSZ|ID:6476.0,FSZ,FUK
34114,src_unresolved:FSZ|ID:6476.0,FSZ,KOJ
34115,dst_unresolved:FSZ|ID:6476.0,FUK,FSZ
34124,dst_unresolved:FSZ|ID:6476.0,KOJ,FSZ
34421,src_unresolved:RIG|ID:2611.0,RIG,PET
34525,src_unresolved:FSZ|ID:6476.0,FSZ,PVG
34798,dst_unresolved:FSZ|ID:6476.0,PVG,FSZ
35085,dst_unresolved:KBU|ID:6231.0,BDJ,KBU
35198,src_unresolved:KBU|ID:6231.0,KBU,BDJ
35199,src_unresolved:KBU|ID:6231.0,KBU,UPG
35229,src_unresolved:MJU|ID:9181.0,MJU,UPG
35263,src_unresolved:PUM|ID:8735.0,PUM,UPG
35312,dst_unresolved:KBU|ID:6231.0,UPG,KBU
35316,dst_unresolved:MJU|ID:9181.0,UPG,MJU
35319,dst_unresolved:PUM|ID:8735.0,UPG,PUM
35512,src_unresolved:CGA|ID:7144.0,CGA,KLW
35513,src_unresolved:EDA|ID:nan,EDA,KTN
35515,src_unresolved:KCC|ID:7237.0;dst_unresolved:EDA|ID:nan,KCC,EDA
35516,src_unresolved:KCC|ID:7237.0;dst_unresolved:WWP|ID:7152.0,KCC,WWP
35518,src_unresolved:KPB|ID:7150.0;dst_unresolved:PPV|ID:7151.0,KPB,PPV
35519,src_unresolved:KTB|ID:7147.0;dst_unresolved:CGA|ID:7144.0,KTB,CGA
35521,dst_unresolved:KCC|ID:7237.0,KTN,KCC
35522,dst_unresolved:KPB|ID:7150.0,KTN,KPB
35523,dst_unresolved:KTB|ID:7147.0,KTN,KTB
35526,src_unresolved:NKI|ID:nan;dst_unresolved:EDA|ID:nan,NKI,EDA
35527,src_unresolved:PPV|ID:7151.0,PPV,KTN
35528,src_unresolved:WWP|ID:7152.0;dst_unresolved:NKI|ID:nan,WWP,NKI
37468,dst_unresolved:NTG|ID:5475.0,CKG,NTG
37504,src_unresolved:NTG|ID:5475.0,NTG,CKG
39003,dst_unresolved:MRA|ID:5804.0,BEN,MRA
39008,dst_unresolved:MRA|ID:5804.0,CAI,MRA
39014,dst_unresolved:MRA|ID:5804.0,HBE,MRA
39026,src_unresolved:MRA|ID:5804.0,MRA,BEN
39027,src_unresolved:MRA|ID:5804.0,MRA,CAI
39028,src_unresolved:MRA|ID:5804.0,MRA,HBE
39029,src_unresolved:MRA|ID:5804.0,MRA,SFA
39030,src_unresolved:MRA|ID:5804.0,MRA,TUN
39031,src_unresolved:QUB|ID:5805.0,QUB,TIP
39033,dst_unresolved:MRA|ID:5804.0,SFA,MRA
39052,dst_unresolved:QUB|ID:5805.0,TIP,QUB
39062,dst_unresolved:MRA|ID:5804.0,TUN,MRA
39929,src_unresolved:DHB|ID:9540.0;dst_unresolved:RCE|ID:8170.0,DHB,RCE
39930,src_unresolved:DHB|ID:9540.0;dst_unresolved:WSX|ID:8173.0,DHB,WSX
39932,src_unresolved:FBS|ID:8174.0;dst_unresolved:LKE|ID:6457.0,FBS,LKE
39933,src_unresolved:FBS|ID:8174.0;dst_unresolved:RCE|ID:8170.0,FBS,RCE
